signaldate,LAT,LON,operation_id,Outlier GPS,In Port,At Sea Anchor,At Sea Adrift,At Sea Voyage
2024-05-21T20:00:00.000000,32.188696666667,119.03396333333,1,0,1,0,0,0
2024-05-21T20:01:00.000000,32.188696666667,119.03394666667,1,0,1,0,0,0
2024-05-21T20:02:00.000000,32.18868,119.03394166667,1,0,1,0,0,0
2024-05-21T20:03:00.000000,32.188696666667,119.03396666667,1,0,1,0,0,0
2024-05-21T20:04:00.000000,32.1887,119.03394166667,1,0,1,0,0,0
2024-05-21T20:05:00.000000,32.188703333333,119.03396666667,1,0,1,0,0,0
2024-05-21T20:06:00.000000,32.188723333333,119.033965,1,0,1,0,0,0
2024-05-21T20:07:00.000000,32.188705,119.03395,1,0,1,0,0,0
2024-05-21T20:08:00.000000,32.188701666667,119.033945,1,0,1,0,0,0
2024-05-21T20:09:00.000000,32.188675,119.03396,1,0,1,0,0,0
2024-05-21T20:10:00.000000,32.188648333333,119.03396,1,0,1,0,0,0
2024-05-21T20:11:00.000000,32.188673333333,119.03396333333,1,0,1,0,0,0
2024-05-21T20:12:00.000000,32.188688333333,119.03395333333,1,0,1,0,0,0
2024-05-21T20:13:00.000000,32.188715,119.03398166667,1,0,1,0,0,0
2024-05-21T20:14:00.000000,32.188738333333,119.03390666667,1,0,1,0,0,0
2024-05-21T20:15:00.000000,32.188811666667,119.03397666667,1,0,1,0,0,0
2024-05-21T20:16:00.000000,32.188831666667,119.03399333333,1,0,1,0,0,0
2024-05-21T20:17:00.000000,32.188815,119.03400666667,1,0,1,0,0,0
2024-05-21T20:18:00.000000,32.188783333333,119.03397833333,1,0,1,0,0,0
2024-05-21T20:19:00.000000,32.188748333333,119.03397666667,1,0,1,0,0,0
2024-05-21T20:20:00.000000,32.18869,119.03399666667,1,0,1,0,0,0
2024-05-21T20:21:00.000000,32.188703333333,119.03398833333,1,0,1,0,0,0
2024-05-21T20:22:00.000000,32.188688333333,119.03396,1,0,1,0,0,0
2024-05-21T20:23:00.000000,32.188688333333,119.03397166667,1,0,1,0,0,0
2024-05-21T20:24:00.000000,32.188731666667,119.033945,1,0,1,0,0,0
2024-05-21T20:25:00.000000,32.188681666667,119.03392166667,1,0,1,0,0,0
2024-05-21T20:26:00.000000,32.188703333333,119.03391333333,1,0,1,0,0,0
2024-05-21T20:27:00.000000,32.188736666667,119.03394166667,1,0,1,0,0,0
2024-05-21T20:28:00.000000,32.18874,119.033985,1,0,1,0,0,0
2024-05-21T20:29:00.000000,32.18873,119.03396833333,1,0,1,0,0,0
2024-05-21T20:30:00.000000,32.188683333333,119.03395833333,1,0,1,0,0,0
2024-05-21T20:31:00.000000,32.18866,119.03393166667,1,0,1,0,0,0
2024-05-21T20:32:00.000000,32.188703333333,119.033935,1,0,1,0,0,0
2024-05-21T20:33:00.000000,32.188731666667,119.033955,1,0,1,0,0,0
2024-05-21T20:34:00.000000,32.188701666667,119.03397,1,0,1,0,0,0
2024-05-21T20:35:00.000000,32.1887,119.03392166667,1,0,1,0,0,0
2024-05-21T20:36:00.000000,32.188701666667,119.03395333333,1,0,1,0,0,0
2024-05-21T20:37:00.000000,32.188711666667,119.03399666667,1,0,1,0,0,0
2024-05-21T20:38:00.000000,32.188661666667,119.03397333333,1,0,1,0,0,0
2024-05-21T20:39:00.000000,32.188656666667,119.03394666667,1,0,1,0,0,0
2024-05-21T20:40:00.000000,32.188675,119.033905,1,0,1,0,0,0
2024-05-21T20:41:00.000000,32.188686666667,119.03391,1,0,1,0,0,0
2024-05-21T20:42:00.000000,32.188713333333,119.03395,1,0,1,0,0,0
2024-05-21T20:43:00.000000,32.188733333333,119.03395666667,1,0,1,0,0,0
2024-05-21T20:44:00.000000,32.188695,119.033905,1,0,1,0,0,0
2024-05-21T20:45:00.000000,32.188696666667,119.03397166667,1,0,1,0,0,0
2024-05-21T20:46:00.000000,32.188771666667,119.03400333333,1,0,1,0,0,0
2024-05-21T20:47:00.000000,32.188743333333,119.03395833333,1,0,1,0,0,0
2024-05-21T20:48:00.000000,32.188755,119.03394333333,1,0,1,0,0,0
2024-05-21T20:49:00.000000,32.188718333333,119.03393833333,1,0,1,0,0,0
2024-05-21T20:50:00.000000,32.188705,119.03394666667,1,0,1,0,0,0
2024-05-21T20:51:00.000000,32.188685,119.03393666667,1,0,1,0,0,0
2024-05-21T20:52:00.000000,32.188713333333,119.03394833333,1,0,1,0,0,0
2024-05-21T20:53:00.000000,32.188693333333,119.03392833333,1,0,1,0,0,0
2024-05-21T20:54:00.000000,32.188693333333,119.03389,1,0,1,0,0,0
2024-05-21T20:55:00.000000,32.188693333333,119.03391666667,1,0,1,0,0,0
2024-05-21T20:56:00.000000,32.188703333333,119.03394166667,1,0,1,0,0,0
2024-05-21T20:57:00.000000,32.188713333333,119.03391833333,1,0,1,0,0,0
2024-05-21T20:58:00.000000,32.18874,119.03390166667,1,0,1,0,0,0
2024-05-21T20:59:00.000000,32.188738333333,119.03393166667,1,0,1,0,0,0
2024-05-21T21:00:00.000000,32.188683333333,119.03392,1,0,1,0,0,0
2024-05-21T21:01:00.000000,32.188675,119.03390666667,1,0,1,0,0,0
2024-05-21T21:02:00.000000,32.188685,119.03393666667,1,0,1,0,0,0
2024-05-21T21:03:00.000000,32.18868,119.033945,1,0,1,0,0,0
2024-05-21T21:04:00.000000,32.188695,119.033955,1,0,1,0,0,0
2024-05-21T21:05:00.000000,32.188705,119.03394333333,1,0,1,0,0,0
2024-05-21T21:06:00.000000,32.188708333333,119.03394333333,1,0,1,0,0,0
2024-05-21T21:07:00.000000,32.188691666667,119.03392833333,1,0,1,0,0,0
2024-05-21T21:08:00.000000,32.188691666667,119.033935,1,0,1,0,0,0
2024-05-21T21:09:00.000000,32.188695,119.03395333333,1,0,1,0,0,0
2024-05-21T21:10:00.000000,32.18869,119.03394666667,1,0,1,0,0,0
2024-05-21T21:11:00.000000,32.188698333333,119.03394166667,1,0,1,0,0,0
2024-05-21T21:12:00.000000,32.188673333333,119.03392166667,1,0,1,0,0,0
2024-05-21T21:13:00.000000,32.188686666667,119.03390833333,1,0,1,0,0,0
2024-05-21T21:14:00.000000,32.188698333333,119.033895,1,0,1,0,0,0
2024-05-21T21:15:00.000000,32.188696666667,119.03389166667,1,0,1,0,0,0
