LOCODE,LAT,LON
CNKFG,34.7833,114.3333
CNLZO,37.1667,119.95
CNLSN,35.0667,119.3667
CNLXI,29.2,119.4667
CNLIH,23.0167,115.2667
CNLYG,34.7167,119.4333
CNLIZ,24.7667,112.35
CNLLI,27.6667,113.4833
CNLNH,28.85,121.1167
CNLUI,40.0667,116.75
CNLUD,23.0667,112.0
CNLZL,20.9,110.0667
CNLZH,23.3167,109.4
CNLGU,40.7667,115.5667
CNLGI,26.4667,113.2667
CNLKU,37.65,120.35
CNLGY,37.4333,122.6333
CNLUN,31.7333,116.4833
CNLFN,22.95,115.6333
CNLUH,30.8167,122.6167
CNLUB,47.5667,130.8167
CNLSH,38.6833,121.1833
CNLUS,32.05,121.6167
CNLUZ,28.9,105.4
CNMAA,31.7167,118.4667
CNMAC,19.95,110.0167
CNSHM,23.35,112.6833
CNMJS,30.6667,122.4
CNMWN,22.45,113.8833
CNMAW,25.9833,119.45
CNMSA,24.7,117.0667
CNMIY,40.3667,116.8333
CNMOH,53.0167,122.45
CNNAN,23.4333,117.6833
CNNAH,23.0167,113.15
CNNJK,23.1167,111.8
CNNJI,32.05,118.7667
CNNIN,22.8,108.3167
CNNSA,22.75,113.5833
CNNTG,32.0167,120.85
CNZNZ,20.9167,110.5833
CNNBO,29.8667,121.55
CNNBG,29.9167,121.6667
CNNGB,29.8667,121.55
CNNUD,36.3833,120.8667
CNPAJ,41.1167,122.05
CNPLI,37.8,120.75
CNPXM,22.1,113.1667
CNPGZ,23.0333,113.2
CNPJS,34.3351999,118.01246
CNPDG,31.2333,121.5
CNPUT,24.4333,119.0167
CNPYG,35.7,115.0
CNQSN,22.2333,113.5167
CNQAW,36.05,120.2167
CNLJQ,26.2,119.5167
CNQIN,36.05,120.3167
CNQIG,34.6833,115.7667
CNQLN,19.55,110.8167
CNQGS,41.3667,126.5167
CNQGY,23.7,113.0167
CNSHP,39.9167,119.5833
CNQSA,21.5833,108.4667
CNQZL,24.9333,118.6
CNQZJ,24.9333,118.6
CNJDR,23.5833,116.4333
CNROH,46.8,134.0
CNRPG,23.6667,117.0
CNRZH,35.3833,119.5333
CNRCG,37.15,122.3833
CNROQ,22.7833,113.2667
CNSIQ,26.9667,119.6833
CNSAM,26.2333,117.6167
CNSNS,26.9333,120.2167
CNSJQ,23.1667,112.8667
CNSYA,33.7833,120.25
CNSZA,22.05,113.35
CNNDS,26.65,119.5167
CNSAT,21.6,112.7833
CNSGH,31.2333,121.4833
CNSHA,31.2333,121.4833
CNSGU,30.0,120.8667
CNSXJ,42.8667,90.1667
CNSTG,23.4167,116.7667
CNSAW,28.05,121.2
CNSWE,22.7833,115.35
CNHSC,24.8,113.6167
CNSPA,21.5,111.4833
CNSTI,23.9833,113.9
CNSHT,23.05,113.4333
CNSHK,22.4833,113.9167
CNSNH,24.6167,118.6667
CNSNZ,22.55,114.1167
CNSEY,33.7667,120.25
CNSHD,36.8667,122.4333
CNSIJ,24.6167,118.4333
CNSJU,36.3667,119.55
CNSLO,23.0167,113.5
CNSPI,30.3167,116.65
CNXSP,29.4833,121.85
CNPNY,22.95,113.3667
CNSHH,24.7333,118.6333
CNSTB,21.5833,109.55
CNSAN,23.0,113.0833
CNSDG,21.5167,111.0
CNSIK,22.2333,110.9333
CNSUD,22.8333,113.25
CNSHL,22.8,106.8
CNSKS,39.2833,122.5667
CNSYM,22.8,100.9667
CNSGJ,31.0167,121.2333
CNSON,25.6833,119.5833
CNSBN,47.3,131.85
CNSNN,30.5333,105.5333
CNSUW,49.4167,127.3167
CNSZH,31.3167,120.6167
CNTAC,31.45,121.1
CNTJG,26.0833,119.5
CNTAP,21.0333,110.1667
CNTPW,37.2667,119.8333
CNTZO,32.4833,119.9
CNTZU,32.5,119.9
CNTGG,39.0167,117.65
CNTGS,39.6,118.1833
CNQNH,19.2333,110.4667
CNTNJ,39.0333,117.2
CNTNG,38.9833,117.75
CNTXG,38.9833,117.7
CNTOJ,47.65,132.5
CNTOL,30.9333,117.8
CNTXZ,30.6333,120.5667
CNWIH,22.5833,113.1333
CNWAS,21.9333,113.7167
CNWAZ,22.1833,113.5167
CNWEF,36.7167,119.1
CNWEI,37.5167,122.1167
CNWEG,37.5,122.1667
CNWIT,24.5333,118.6
CNLMG,28.4167,121.9833
CNWSH,23.3667,104.25
