LOCODE,LAT,LON
DKHAD,55.25,9.5
DKKOL,55.483333333333,9.5
DKFRC,55.566666666667,9.7666666666667
DKVEJ,55.716666666667,9.55
DKHOR,55.866666666667,9.85
DKAAR,56.15,10.216666666666667
DKSSV,56.25,10.35
DKGRE,56.416666666667,10.933333333333
DKRAN,56.466666666667,10.05
DKHSU,56.71666666666667,10.1
DKMRR,56.65,10
DKHBO,56.633333333333,9.8
DKHAS,56.983333333333,10.316666666667
DKAAL,57.05,9.9333333333333
DKFDH,57.433333333333,10.55
DKSKA,57.716666666667,10.6
DKHIR,57.6,9.9666666666667
DKHAN,57.133333333333,8.6
DKTED,56.95,8.7
DKTHN,56.7,8.2166666666667
DKLVG,56.583333333333,8.2833333333333
DKHSB,56.5,8.5833333333333
DKRKG,56.083333333333,8.25
DKEBJ,55.466666666667,8.45
DEHUS,54.483333333333,9.05
DEBUM,54.133333333333,8.8666666666667
DEBRB,53.883333333333,9.1666666666667
DEITZ,53.916666666667,9.5166666666667
DEREN,54.3,9.6833333333333
DENEH,53.8,9.033333333333333
DEGLU,53.783333333333,9.4166666666667
DEHAM,53.516666666666666,9.933333333333334
DEBUZ,53.666666666666664,9.483333333333333
DECUX,53.88333333333333,8.7
DEBRV,53.53333333333333,8.6
DENHA,53.5,8.483333333333333
DEBKE,53.333333333333336,8.483333333333333
DEELS,53.233333333333334,8.466666666666667
DEOLO,53.166666666666664,8.2
DEBRE,53.133333333333,8.7666666666667
DEWVN,53.516666666666666,8.133333333333333
DEEME,53.36666666666667,7.216666666666667
DELEE,53.233333333333,7.45
DEPAP,53.06666666666667,7.4
NLEEM,53.45,6.8333333333333
NLDZL,52.516666666666666,6.933333333333334
NLHAR,53.18333333333333,5.433333333333334
NLDHR,52.95,4.766666666666667
NLIJM,52.46666666666667,4.6
NLZAA,52.433333333333,4.8333333333333
NLAMS,52.4,4.816666666666666
NLSCE,52.1,4.25
NLHVH,51.96666666666667,4.116666666666666
NLEUR,51.95,4.1166666666667
NLMSL,51.916666666667,4.25
NLVLA,51.9,4.35
NLSCI,51.9,4.4
NLRTM,51.916666666666664,4.5
NLDOR,51.78333333333333,4.633333333333333
NLVLI,51.45,3.7
NLHAN,51.43333333333333,4
NLTNZ,51.46666666666667,3.8166666666666664
BEANR,51.21666666666667,4.416666666666667
BEBRU,50.833333333333336,4.333333333333333
BEGNE,51.05,3.716666666666667
BEZEE,51.333333333333336,3.2
BEBGS,51.233333333333,3.2166666666667
BEOST,51.2,2.9166666666666665
BENIE,51.133333333333,2.75
IERAT,55.1,-7.533333333333333
IEKBS,54.633333333333,-8.45
IESLI,54.266666666667,-8.4666666666667
IEWES,53.8,-9.5333333333333
IEDRO,53.716666666667,-6.3
IEGWY,53.266666666667,-9.05
IELMK,52.633333333333,-8.6166666666667
IEFOV,52.616666666667,-9.1166666666667
IETAR,52.583333333333,-9.3666666666667
IEFEN,52.266666666666666,-9.866666666666667
IECTB,51.65,-9.916666666666666
IEVAL,51.933333333333,-10.3
IEKLR,52.633333333333,-9.5
IEBYT,51.68333333333333,-9.45
IECOB,51.85,-8.3
IEORK,51.85,-8.2666666666667
IENRS,52.38333333333333,-6.933333333333334
IEWAT,52.25,-7.1
IEROE,52.25,-6.3333333333333
IEDUB,53.35,-6.25
IEGRN,54.033333333333,-6.1333333333333
FRDKK,51.03333333333333,2.3833333333333333
FRIRK,51.066666666667,2.35
FRGRV,50.983333333333334,2.1333333333333333
FRCQF,50.95,1.85
FRBOL,50.71666666666667,1.6166666666666667
FRSVS,50.18333333333333,1.6333333333333333
FRLTR,50.06666666666667,1.3666666666666667
FRDPE,49.916666666666664,1.0833333333333333
FRFEC,49.75,0.38333333333333336
FRLEH,49.5,0.1
FRURO,49.45,1.1
FRHON,49.416666666666664,0.23333333333333334
FRDOL,49.36666666666667,0.06666666666666667
FRCFR,49.18333333333333,-0.36666666666666664
FROUI,49.28333333333333,-0.26666666666666666
FRCER,49.63333333333333,-1.6166666666666667
FRGFR,48.833333333333336,-1.5833333333333335
FRSML,48.65,-2.0166666666666666
FRLLG,48.533333333333,-2.75
FRPAI,48.78333333333333,-3.05
FRPOX,48.7,-3.1666666666666665
FRTRE,48.78333333333333,-3.2333333333333334
FRMXN,48.583333333333336,-3.8333333333333335
FRROS,48.733333333333,-3.9833333333333
FRBES,48.4,-4.483333333333333
FRCOC,47.88333333333333,-3.9166666666666665
FRLRT,47.75,-3.3666666666666667
FRSNR,47.28333333333333,-2.2
FRMTX,47.333333333333336,-2.15
FRDON,47.3,-2.066666666666667
FRNTE,47.21666666666667,-1.55
FRLSO,46.5,-1.7833333333333332
FRLPE,46.166666666666664,-1.2166666666666668
FRLRH,46.166666666666664,-1.15
FRRCO,45.95,-0.9666666666666667
FRTON,45.95,-0.9
FRLVE,45.55,-1.0666666666666667
FRPAP,45.2,-0.75
FRBYE,45.13333333333333,-0.6666666666666666
FRAMS,45,-0.5333333333333333
FRBOD,44.833333333333336,-0.5833333333333334
FRBAY,43.5,-1.4833333333333334
ESPAS,43.333333333333,-1.9333333333333
ESBRM,43.43333333333333,-2.716666666666667
ESBIO,43.25,-2.966666666666667
ESSDR,43.466666666667,-3.7833333333333
ESGIJ,43.53333333333333,-5.666666666666667
ESAVS,43.6,-5.9333333333333
ESRIB,43.533333333333,-7.0333333333333
ESSCI,43.7,-7.4333333333333
ESFRO,43.483333333333334,-8.25
ESLCG,43.36666666666667,-8.383333333333333
ESVIL,42.6,-8.75
ESMPG,42.4,-8.7
ESVGO,42.233333333333,-8.7166666666667
PTVDC,41.7,-8.833333333333334
PTLEI,41.18333333333333,-8.683333333333334
PTOPO,41.15,-8.616666666666667
PTAVE,40.63333333333333,-8.65
PTFDF,40.15,-8.866666666666667
PTLIS,38.71666666666667,-9.133333333333333
PTSET,38.53333333333333,-8.9
PTSIE,37.95,-8.866666666666667
PTLOS,37.1,-8.666666666666666
PTFAO,37.016666666666666,-7.933333333333334
PTVRE,37.2,-7.416666666666667
PTHOR,38.53333333333333,-28.633333333333333
PTLDP,38.38333333333333,-28.266666666666666
PTADH,38.65,-27.216666666666665
PTPRV,38.733333333333334,-27.066666666666666
PTPDL,37.733333333333334,-25.666666666666668
PTVDP,36.93333333333333,-25.15
PTFNC,32.63333333333333,-16.9
ESSPC,28.683333333333334,-17.766666666666666
ESSCT,28.466666666667,-16.233333333333
ESLPA,28.1,-15.416666666666666
ESFUE,28.5,-13.85
ESACE,28.966666666666665,-13.533333333333333
ESHUV,37.25,-6.95
ESSVQ,37.366666666667,-6
ESROT,36.616666666667,-6.3333333333333
ESCAD,36.533333333333,-6.3
ESALG,36.133333333333,-5.4333333333333
ESAGP,36.71666666666667,-4.416666666666667
ESMOT,36.75,-3.5166666666667
ESADR,36.75,-3.0166666666666666
ESLEI,36.833333333333336,-2.45
ESCRS,36.983333333333334,-1.8833333333333333
ESGAR,37.183333333333,-1.8166666666667
