signaldate,LAT,LON,operation_id,Outlier GPS,In Port,At Sea Anchor,At Sea Adrift,At Sea Voyage
2024-09-09T08:00:00.000000,44.099955833333,28.658128833333,1,0,1,0,0,0
2024-09-09T08:01:00.000000,44.0999555,28.658128666667,1,0,1,0,0,0
2024-09-09T08:02:00.000000,44.099955,28.6581295,1,0,1,0,0,0
2024-09-09T08:03:00.000000,44.099954166667,28.65813,1,0,1,0,0,0
2024-09-09T08:04:00.000000,44.099953833333,28.658130166667,1,0,1,0,0,0
2024-09-09T08:05:00.000000,44.099953833333,28.658130166667,1,0,1,0,0,0
2024-09-09T08:06:00.000000,44.099954333333,28.658130833333,1,0,1,0,0,0
2024-09-09T08:07:00.000000,44.099953166667,28.658133333333,1,0,1,0,0,0
2024-09-09T08:08:00.000000,44.099952333333,28.658134166667,1,0,1,0,0,0
2024-09-09T08:09:00.000000,44.099952666667,28.658134666667,1,0,1,0,0,0
2024-09-09T08:10:00.000000,44.099952666667,28.658135,1,0,1,0,0,0
2024-09-09T08:11:00.000000,44.099952,28.658135166667,1,0,1,0,0,0
2024-09-09T08:12:00.000000,44.0999515,28.658136,1,0,1,0,0,0
2024-09-09T08:13:00.000000,44.099951666667,28.658136833333,1,0,1,0,0,0
2024-09-09T08:14:00.000000,44.0999525,28.658137166667,1,0,1,0,0,0
2024-09-09T08:15:00.000000,44.099953166667,28.658136666667,1,0,1,0,0,0
2024-09-09T08:16:00.000000,44.0999535,28.658136833333,1,0,1,0,0,0
2024-09-09T08:17:00.000000,44.099954166667,28.658136166667,1,0,1,0,0,0
2024-09-09T08:18:00.000000,44.099955333333,28.6581355,1,0,1,0,0,0
2024-09-09T08:19:00.000000,44.099955833333,28.658135333333,1,0,1,0,0,0
2024-09-09T08:20:00.000000,44.099955833333,28.658135833333,1,0,1,0,0,0
2024-09-09T08:21:00.000000,44.0999555,28.658136333333,1,0,1,0,0,0
2024-09-09T08:22:00.000000,44.099955833333,28.658135833333,1,0,1,0,0,0
2024-09-09T08:23:00.000000,44.099955833333,28.6581355,1,0,1,0,0,0
2024-09-09T08:24:00.000000,44.099955666667,28.658135166667,1,0,1,0,0,0
2024-09-09T08:25:00.000000,44.099956,28.6581345,1,0,1,0,0,0
2024-09-09T08:26:00.000000,44.0999565,28.658134333333,1,0,1,0,0,0
2024-09-09T08:27:00.000000,44.099957,28.658134333333,1,0,1,0,0,0
2024-09-09T08:28:00.000000,44.099957333333,28.658134166667,1,0,1,0,0,0
2024-09-09T08:29:00.000000,44.099957833333,28.658133333333,1,0,1,0,0,0
2024-09-09T08:30:00.000000,44.099958,28.658132333333,1,0,1,0,0,0
2024-09-09T08:31:00.000000,44.099958166667,28.658132333333,1,0,1,0,0,0
2024-09-09T08:32:00.000000,44.099958166667,28.658132666667,1,0,1,0,0,0
2024-09-09T08:33:00.000000,44.099957833333,28.658132666667,1,0,1,0,0,0
2024-09-09T08:34:00.000000,44.0999575,28.658133166667,1,0,1,0,0,0
2024-09-09T08:35:00.000000,44.0999575,28.658134,1,0,1,0,0,0
2024-09-09T08:36:00.000000,44.099957666667,28.658133666667,1,0,1,0,0,0
2024-09-09T08:37:00.000000,44.099957166667,28.658135,1,0,1,0,0,0
2024-09-09T08:38:00.000000,44.0999565,28.658135666667,1,0,1,0,0,0
2024-09-09T08:39:00.000000,44.0999565,28.658135166667,1,0,1,0,0,0
2024-09-09T08:40:00.000000,44.099956666667,28.658135833333,1,0,1,0,0,0
2024-09-09T08:41:00.000000,44.099957,28.658136166667,1,0,1,0,0,0
2024-09-09T08:42:00.000000,44.099956833333,28.658136,1,0,1,0,0,0
2024-09-09T08:43:00.000000,44.099956166667,28.6581375,1,0,1,0,0,0
